"id","LastName","FirstName","BirthDate","BirthCountry","Gender","CitizenshipCountry","CitizenshipBasis","CitizenshipStartDate","PassportCountry","PassportIssueDate","PassportExpirationDate","group","CurrentEmploymentTitle","CurrentEmploymentStartDate","EmailAddress","MilitaryServiceBranch","MilitaryDischargeType","MilitaryDischargeDate"
"Carla Forluniau","Forluniau","Carla",1981-06-02,"Kronos","Female","Kronos","BirthNation",1981-06-02,NA,NA,NA,"Administration","Assistant to IT Group Manager",2005-03-07,"Carla.Forluniau@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2001-10-01
"Cecilia Morluniau","Morluniau","Cecilia",1988-09-02,"Kronos","Female","Kronos","BirthNation",1988-09-02,NA,NA,NA,"Facilities","Truck Driver",2009-04-30,"Cecilia.Morluniau@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2008-10-01
"Claudio Hawelon","Hawelon","Claudio",1983-08-13,"Kronos","Male","Kronos","BirthNation",1983-08-13,NA,NA,NA,"Facilities","Truck Driver",2007-03-13,"Claudio.Hawelon@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2003-10-01
"Cornelia Lais","Lais","Cornelia",1991-07-07,"Kronos","Female","Kronos","BirthNation",1991-07-07,NA,NA,NA,"Administration","Assistant to Security Group Manager",2011-12-22,"Cornelia.Lais@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2011-10-01
"Dante Coginian","Coginian","Dante",1971-12-01,"Kronos","Male","Kronos","BirthNation",1971-12-01,NA,NA,NA,"Facilities","Lead Janitor",1995-01-07,"Dante.Coginian@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",1992-10-01
"Dylan Scozzese","Scozzese","Dylan",1986-05-25,"Kronos","Male","Kronos","BirthNation",1986-05-25,NA,NA,NA,"Facilities","Truck Driver",2007-03-01,"Dylan.Scozzese@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2006-10-01
"Edvard Vann","Vann","Edvard",1991-03-18,"Kronos","Male","Kronos","BirthNation",1991-03-18,NA,NA,NA,"Security","Perimeter Control",2013-08-15,"Edvard.Vann@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2011-10-01
"Elsa Orilla","Orilla","Elsa",1982-04-12,"Tethys","Female","Tethys","BirthNation",1982-04-12,"Tethys",2010-02-28,2020-02-27,"Engineering","Drill Technician",2004-05-26,"Elsa.Orilla@gastech.com.kronos",NA,NA,NA
"Emile Arpa","Arpa","Emile",1992-10-01,"Kronos","Male","Kronos","BirthNation",1992-10-01,NA,NA,NA,"Facilities","Janitor",2013-03-18,"Emile.Arpa@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2012-10-01
"Felix Balas","Balas","Felix",1960-03-04,"Tethys","Male","Tethys","BirthNation",1960-03-04,"Tethys",2005-04-15,2015-04-14,"Engineering","Engineer",2004-09-02,"Felix.Balas@gastech.com.kronos","TethanDefenseForceNavy","HonorableDischarge",1988-10-01
"Felix Resumir","Resumir","Felix",1959-06-30,"Tethys","Male","Tethys","BirthNation",1959-06-30,"Tethys",2005-03-20,2015-03-19,"Security","Security Group Manager",2003-09-15,"Felix.Resumir@gastech.com.kronos","TethanDefenseForceArmy","HonorableDischarge",1997-10-01
"Gustav Cazar","Cazar","Gustav",1986-11-06,"Tethys","Male","Tethys","BirthNation",1986-11-06,"Tethys",2009-06-10,2019-06-09,"Engineering","Hydraulic Technician",2009-09-15,"Gustav.Cazar@gastech.com.kronos",NA,NA,NA
"Henk Mies","Mies","Henk",1984-09-23,"Kronos","Male","Kronos","BirthNation",1984-09-23,NA,NA,NA,"Facilities","Truck Driver",2013-07-12,"Henk.Mies@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2004-10-01
"Hennie Osvaldo","Osvaldo","Hennie",1988-05-31,"Kronos","Male","Kronos","BirthNation",1988-05-31,NA,NA,NA,"Security","Perimeter Control",2011-06-07,"Hennie.Osvaldo@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2010-10-01
"Hideki Cocinaro","Cocinaro","Hideki",1980-12-25,"Tethys","Male","Tethys","BirthNation",1980-12-25,"Tethys",2013-05-25,2023-05-24,"Security","Site Control",2010-01-01,"Hideki.Cocinaro@gastech.com.kronos","TethanDefenseForceArmy","HonorableDischarge",2009-10-01
"Inga Ferro","Ferro","Inga",1989-06-17,"Kronos","Female","Kronos","BirthNation",1989-06-17,NA,NA,NA,"Security","Site Control",2013-01-11,"Inga.Ferro@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2012-10-01
"Ingrid Barranco","Barranco","Ingrid",1961-10-26,"Tethys","Female","Tethys","BirthNation",1961-10-26,"Tethys",2013-07-01,2023-06-30,"Executive","SVP/CFO",2003-09-30,"Ingrid.Barranco@gastech.com.kronos",NA,NA,NA
"Irene Nant","Nant","Irene",1985-03-13,"Kronos","Female","Kronos","BirthNation",1985-03-13,NA,NA,NA,"Facilities","Truck Driver",2008-11-30,"Irene.Nant@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2005-10-01
"Isak Baza","Baza","Isak",1979-02-12,"Tethys","Male","Tethys","BirthNation",1979-02-12,"Tethys",2008-08-13,2018-08-12,"Information Technology","IT Technician",2002-03-20,"Isak.Baza@gastech.com.kronos",NA,NA,NA
"Isande Borrasca","Borrasca","Isande",1979-10-22,"Tethys","Female","Tethys","BirthNation",1979-10-22,"Tethys",2008-10-03,2018-10-02,"Engineering","Drill Technician",2004-02-18,"Isande.Borrasca@gastech.com.kronos",NA,NA,NA
"Isia Vann","Vann","Isia",1986-12-13,"Kronos","Male","Kronos","BirthNation",1986-12-13,NA,NA,NA,"Security","Perimeter Control",2007-12-14,"Isia.Vann@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2007-10-01
"Kanon Herrero","Herrero","Kanon",1984-10-03,"Tethys","Male","Tethys","BirthNation",1984-10-03,"Tethys",2008-10-10,2018-10-09,"Security","Badging Office",2008-11-20,"Kanon.Herrero@gastech.com.kronos",NA,NA,NA
"Kare Orilla","Orilla","Kare",1964-02-29,"Tethys","Female","Tethys","BirthNation",1964-02-29,"Tethys",2013-07-01,2023-06-30,"Engineering","Drill Technician",2005-11-12,"Kare.Orilla@gastech.com.kronos",NA,NA,NA
"Lars Azada","Azada","Lars",1973-04-30,"Tethys","Male","Tethys","BirthNation",1973-04-30,"Tethys",2011-06-01,2021-05-31,"Engineering","Engineer",1995-12-01,"Lars.Azada@gastech.com.kronos","TethanDefenseForceAir","GeneralDischarge",1995-10-01
"Lidelse Dedos","Dedos","Lidelse",1952-02-14,"Tethys","Female","Tethys","BirthNation",1952-02-14,"Tethys",2008-08-13,2018-08-12,"Engineering","Engineering Group Manager",2003-03-01,"Lidelse.Dedos@gastech.com.kronos",NA,NA,NA
"Linda Lagos","Lagos","Linda",1980-01-26,"Tethys","Female","Tethys","BirthNation",1980-01-26,"Tethys",2009-11-01,2019-10-31,"Administration","Assistant to COO",2010-02-01,"Linda.Lagos@gastech.com.kronos",NA,NA,NA
"Linnea Bergen","Bergen","Linnea",1969-07-10,"Tethys","Female","Tethys","BirthNation",1969-07-10,"Tethys",2004-04-29,2014-04-28,"Information Technology","IT Group Manager",2004-07-04,"Linnea.Bergen@gastech.com.kronos",NA,NA,NA
"Loreto Bodrogi","Bodrogi","Loreto",1989-04-17,"Kronos","Male","Kronos","BirthNation",1989-04-17,NA,NA,NA,"Security","Site Control",2013-08-17,"Loreto.Bodrogi@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2008-10-01
"Lucas Alcazar","Alcazar","Lucas",1990-04-17,"Tethys","Male","Tethys","BirthNation",1990-04-17,"Tethys",2013-01-24,2023-01-23,"Information Technology","IT Helpdesk",2010-11-30,"Lucas.Alcazar@gastech.com.kronos",NA,NA,NA
"Marin Onda","Onda","Marin",1969-12-31,"Tethys","Male","Tethys","BirthNation",1969-12-31,"Tethys",2005-04-15,2015-04-14,"Engineering","Drill Site Manager",2003-04-13,"Marin.Onda@gastech.com.kronos",NA,NA,NA
"Mat Bramar","Bramar","Mat",1981-12-19,"Tethys","Male","Tethys","BirthNation",1981-12-19,"Tethys",2007-12-12,2017-12-11,"Administration","Assistant to CEO",2005-07-01,"Mat.Bramar@gastech.com.kronos",NA,NA,NA
"Minke Mies","Mies","Minke",1992-11-19,"Kronos","Male","Kronos","BirthNation",1992-11-19,NA,NA,NA,"Security","Perimeter Control",2013-05-22,"Minke.Mies@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2011-10-01
"Nils Calixto","Calixto","Nils",1982-03-26,"Tethys","Male","Tethys","BirthNation",1982-03-26,"Tethys",2012-06-12,2022-06-11,"Information Technology","IT Technician",2004-10-19,"Nils.Calixto@gastech.com.kronos",NA,NA,NA
"Orhan Strum","Strum","Orhan",1963-10-18,"Asteria","Male","Tethys","ParentCitizenship",1963-10-18,"Tethys",2011-06-02,2021-06-01,"Executive","SVP/COO",2003-08-07,"Orhan.Strum@gastech.com.kronos",NA,NA,NA
"Rachel Pantanal","Pantanal","Rachel",1984-08-22,"Tethys","Female","Tethys","BirthNation",1984-08-22,"Tethys",2013-06-13,2023-06-12,"Administration","Assistant to CIO",2013-10-01,"Rachel.Pantanal@gastech.com.kronos",NA,NA,NA
"Ruscella Mies Haber","Mies Haber","Ruscella",1964-04-26,"Kronos","Female","Kronos","BirthNation",1964-04-26,NA,NA,NA,"Administration","Assistant to Engineering Group Manager",2003-04-02,"Ruscella.Mies.Haber@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",1984-10-01
"Sten Sanjorge Jr","Sanjorge Jr.","Sten",1948-08-29,"Tethys","Male","Tethys","BirthNation",1948-08-29,"Tethys",2013-04-21,2023-04-20,"Executive","President/CEO",1990-11-09,"Sten.Sanjorge Jr.@gastech.com.kronos",NA,NA,NA
"Stenig Fusil","Fusil","Stenig",1963-04-29,"Tethys","Male","Tethys","BirthNation",1963-04-29,"Tethys",2006-04-03,2016-04-02,"Security","Building Control",2004-02-05,"Stenig.Fusil@gastech.com.kronos","TethanDefenseForceArmy","HonorableDischarge",1987-10-01
"Sven Flecha","Flecha","Sven",1986-11-11,"Tethys","Male","Tethys","BirthNation",1986-11-11,"Tethys",2006-10-09,2016-10-08,"Information Technology","IT Technician",2010-10-15,"Sven.Flecha@gastech.com.kronos",NA,NA,NA
"Valeria Morlun","Morlun","Valeria",1981-09-22,"Kronos","Female","Kronos","BirthNation",1981-09-22,NA,NA,NA,"Facilities","Truck Driver",2003-12-02,"Valeria.Morlun@gastech.com.kronos","ArmedForcesOfKronos","HonorableDischarge",2001-10-01
"Varja Lagos","Lagos","Varja",1976-05-01,"Tethys","Female","Tethys","BirthNation",1976-05-01,"Tethys",2013-07-07,2023-07-06,"Security","Badging Office",2006-10-01,"Varja.Lagos@gastech.com.kronos",NA,NA,NA
"Varro Awelon","Awelon","Varro",1986-05-05,"Kronos","Male","Kronos","BirthNation",1986-05-05,NA,NA,NA,"Facilities","Janitor",2012-10-22,"Varro.Awelon@gastech.com.kronos","ArmedForcesOfKronos","GeneralDischarge",2006-10-01
"Vira Frente","Frente","Vira",1977-12-29,"Tethys","Female","Tethys","BirthNation",1977-12-29,"Tethys",2010-02-20,2020-02-19,"Engineering","Hydraulic Technician",2001-12-01,"Vira.Frente@gastech.com.kronos",NA,NA,NA
"Willem Vasco-Pais","Vasco-Pais","Willem",1975-03-18,"Tethys","Male","Tethys","BirthNation",1975-03-18,"Tethys",2011-11-26,2021-11-25,"Executive","Environmental Safety Advisor",2010-06-05,"Willem.Vasco-Pais@gastech.com.kronos",NA,NA,NA
